group,path,sha256,bytes,git_blob,artifacts
field-receipt-recovery-v6,docs/evidence/2026-09-08-field/raw/manifests/field-receipt-recovery-v6.json,f756edcac10ab5eba68b81fd84a25707ccb4d387fd9f0b82db080f73f63d8956,608,d4f2fb1cba26dcf7cf2db7d7525572db7c809936,2
field-receipt-recovery-v7,docs/evidence/2026-09-08-field/raw/manifests/field-receipt-recovery-v7.json,416baffe05b6e776d99ef2b367ca5ca92dd0281ce242e38eca854f984be802f0,608,acbe6d1192826b69f4cbebe155922f0816969cb4,2
field-receipt-recovery-v8,docs/evidence/2026-09-08-field/raw/manifests/field-receipt-recovery-v8.json,233b3be799d5e5fd14954b74d7ae20c292542ea77a9c8bff422f749e9e0c4689,608,ba9aeb2e7d55e59b1d64f7b8bf5964e630c11b95,2
field-receipt-recovery-v9,docs/evidence/2026-09-08-field/raw/manifests/field-receipt-recovery-v9.json,7b86022882b552b4f72fb3f02ea0068d2cf50360e8eadcad490d00f2534c023b,608,572c4659df59b9e031fd946f587f80c708d6691a,2
field-relayed-join-v1,docs/evidence/2026-09-08-field/raw/manifests/field-relayed-join-v1.json,da4d6711792609636d8bc8811ab1483de4b24f5396c979b5c2d1c2a2f5ea65ec,328,ec030cb63a6c708489fc7ed95000b789e18224cd,1
field-relayed-join-v2,docs/evidence/2026-09-08-field/raw/manifests/field-relayed-join-v2.json,07362ea4f41f1db77cb6b542e48ac83f699db8b20d5004f4edc29e0d0081935b,596,425258ede8c2f43142f9781c6168c1e01a2a6698,2
field-setup-hil-v1,docs/evidence/2026-09-08-field/raw/manifests/field-setup-hil-v1.json,0f180892688e634578b80b608eac32b5344b81d81b3f54e6c42f2a5784450df3,584,7692cb1ecba83002efa6b6d11d6166053e21d5eb,2
field-setup-hil-v2,docs/evidence/2026-09-08-field/raw/manifests/field-setup-hil-v2.json,0e1ff28bd9c97d3679b2d3d5646eb386a04da53f5945bc51019b6d1d073a1f39,584,4721deb71196b17c5d85cddb6f8e1bc21bd01fab,2
field-setup-hil-v3,docs/evidence/2026-09-08-field/raw/manifests/field-setup-hil-v3.json,7abaf8dceb6aef2e14aa2900fc3517b456783f1bdcddef44274dab350b679cff,584,3876aa73f0cc3753bbc4e06b9b839758c0036f04,2
field-setup-hil-v4,docs/evidence/2026-09-08-field/raw/manifests/field-setup-hil-v4.json,a82d855aa39ad0feb48354ca0bb3ffde1c1f99f9594c3e5d9f3736386c7b7af6,584,865c7e49dccfb53521e2ab979ab8cd5610fd9475,2
field-setup-hil-v5,docs/evidence/2026-09-08-field/raw/manifests/field-setup-hil-v5.json,d1ee4fece0677e2028b66b21a4c04086b9cef5a279ae8e41fe20515f81f672af,584,a2a1aa40909a7e37bae8ec95a3eb7f1d05b338ce,2
field-setup-hil-v6,docs/evidence/2026-09-08-field/raw/manifests/field-setup-hil-v6.json,e2d7bb7aaee4d1da9d5fa6ca425d1eccdb749bd277c02c472333c1b6d68d67c9,584,6ef55c9f5b1198fe9c3d47212944e4951004366c,2
local,docs/evidence/2026-09-08-field/raw/manifests/local.json,d8a09f0a779b195101b6e005006dc37a23ec556b14579ccd41eab0fd332d9a07,60335,a85024e65a0a1636462930c50b7084035aa3795a,228
public-roster.h,docs/evidence/2026-09-08-field/raw/manifests/public-roster.h.json,9c13d847a77fb76928b576f92117f4b12023917a287a99066c8aa99446412171,301,8b53bdb7976ca515efbfe4a7df03080c8475a3fa,1
