path,revision,git_blob,sha256,bytes
docs/STORAGE_BULK_RADIO_2026-09-08.md,dc1203b85f115a5eb3acb686b1c87a43305fb732,a3249ebc43795b536be94e5e1b6035199f363ff7,cb70473d2d55f2ab054e2372951e24d4f85b5454f2ad9f92964823fef815d412,10325
docs/THREE_BOARD_RELAY_HIL_2026-09-08.md,dc1203b85f115a5eb3acb686b1c87a43305fb732,b5b0ade8c201b4766b0ca97acd47662e3ace7426,f71f6e6d1368622759ca9e759464d368182eb62cfa463a99a93e5f86b260e53a,5748
docs/W01_W02_LOCAL_EVIDENCE_2026-09-07.md,dc1203b85f115a5eb3acb686b1c87a43305fb732,88209c433043cb5312d49a315dd2f68f6d317427,9d663f20e8dffd002949377dc3846ed2442cfc7ff8383358c22d6640de836d77,7064
docs/evidence/2026-09-08-extensions/firmware-inputs.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,f4783ee83f01ba63572f801052f5a03b560e8182,534576faa63e195249f9ce4087c226da51e1c2434bf43747b9a24fb7f0f94489,12834
docs/evidence/2026-09-09-adaptive/results.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,3babf3df2db9e4becd4ec7e0207937082682c3ab,c6ce7713a914a4c8a290a4ee29ab429b36fc98a8b9d813ad62799b9682e5ae2d,2565
docs/evidence/2026-09-10-fanout-store/results.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,604bbcf134a928efb66748324eccb2c661d1ea09,465ba36125126ffd134b0f9f0ea706babfc4533b72e5bb77978c915980a3a492,4080
docs/evidence/2026-09-10-fanout-store/source_provenance.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,1792762c48bbdcb08e5585ad901add82d9122f76,a3ba3b455d2beaf3609af28dd12fcf8e0f3b471adad5f61ea74e297d8d0d47dd,1240
docs/evidence/2026-09-10-feedback/results.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,e212596a1107eff1a1cc280c3e6067a87f36209f,adf0d7aa836792da7da2671132e51efae868aa876217675ac1cab62490bd4de9,5176
docs/evidence/2026-09-10-integrated/results.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,6f620c99df44cb3659f63816bf6c2d42a90861df,81b094ad76f6453434f7cf5263a0c27bb84ea0e0ebc6c74f6bb34b1d42354311,10309
docs/evidence/2026-09-10-observation/results.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,1fba60b799adb58cd5e660eea9b6d448a1ab4038,66fe703e8de56052a212921c014919c4420ea498b5fd31e727080f55405358ed,3222
